"N","r","BF10","Emotion","ROI","Outcome","OutcomeType","version"
20,0.0534909736421583,0.492469896970952,"anger","Left FPC","Q3","Survey","V2_ptagg"
19,0.0361114431029802,0.491928011388429,"disgust","Left OFC","Average_duration_of_fixations","ET","V2_ptagg"
19,0.0363860107313,0.491928011388429,"disgust","Right OFC","Average_duration_of_fixations","ET","V2_ptagg"
20,-0.0524029452514028,0.491133528678362,"joy","Right FPC","Average_pupil_diameter","ET","V2_ptagg"
19,-0.0362154304641741,0.490752985519851,"joy","Left DLPFC","Q2","Survey","V2_ptagg"
20,0.053323009284529,0.490326687601083,"disgust","Left FPC","Average_duration_of_fixations","ET","V2_ptagg"
19,0.0323563220178653,0.489796832064585,"anger","Left OFC","Q_mean","Survey","V2_ptagg"
19,0.0297913163356617,0.489796832064585,"anger","Right OFC","Q_mean","Survey","V2_ptagg"
20,-0.0540851817508454,0.489593693534475,"disgust","Right DLPFC","Average_pupil_diameter","ET","V2_ptagg"
19,0.0218914585562175,0.48848477901364,"sadness","Left OFC","Q1","Survey","V2_ptagg"
19,0.023501873121414,0.48848477901364,"sadness","Right OFC","Q1","Survey","V2_ptagg"
19,-0.0207905789017686,0.487848604979961,"joy","Left OFC","Q4","Survey","V2_ptagg"
19,-0.0190966819134907,0.487848604979961,"joy","Right OFC","Q4","Survey","V2_ptagg"
19,-0.0239736373070016,0.48779494736852,"anger","Left OFC","Average_duration_of_fixations","ET","V2_ptagg"
19,-0.0244155119574451,0.48779494736852,"anger","Right OFC","Average_duration_of_fixations","ET","V2_ptagg"
20,-0.0456382707015703,0.487206758687927,"fear","Left FPC","Average_duration_of_fixations","ET","V2_ptagg"
20,0.0419738791566635,0.48713090701608,"joy","Left FPC","Q_mean","Survey","V2_ptagg"
20,0.0535290255535349,0.48705079833667,"fear","Right DLPFC","Q2","Survey","V2_ptagg"
20,-0.0443518312002241,0.486509849355605,"anger","Right FPC","Q4","Survey","V2_ptagg"
19,0.0190910487280679,0.4859370120149,"fear","Left VLPFC","Average_eye_openness","ET","V2_ptagg"
19,0.01428545578215,0.485892732053935,"anger","Left FPC","Average_eye_openness","ET","V2_ptagg"
20,0.0412136752631934,0.485836522154648,"joy","Left FPC","Q3","Survey","V2_ptagg"
19,-0.0250441786141181,0.485822463583196,"sadness","Left OFC","Q2","Survey","V2_ptagg"
19,-0.00866258000243877,0.485822463583196,"sadness","Right OFC","Q2","Survey","V2_ptagg"
19,0.0145802176001038,0.485617349572233,"fear","Left DLPFC","Total_duration_of_fixations","ET","V2_ptagg"
19,0.0105302567872517,0.485616273988084,"joy","Left OFC","Q3","Survey","V2_ptagg"
19,0.0156834022771707,0.485616273988084,"joy","Right OFC","Q3","Survey","V2_ptagg"
20,-0.0392198878673907,0.485581463785347,"anger","Left FPC","Q1","Survey","V2_ptagg"
20,-0.0483975521543569,0.485453205548096,"joy","Right DLPFC","Q_mean","Survey","V2_ptagg"
20,-0.0380502966961172,0.484882803099869,"joy","Right FPC","Q3","Survey","V2_ptagg"
19,-0.000919675280729274,0.484786299739153,"joy","Left OFC","Q1","Survey","V2_ptagg"
19,-0.0048480071405382,0.484786299739153,"joy","Right OFC","Q1","Survey","V2_ptagg"
19,-0.00275448742370104,0.484706530249223,"fear","Left DLPFC","Average_pupil_diameter","ET","V2_ptagg"
20,-0.0390028560491657,0.484283834937299,"anger","Right DLPFC","Average_pupil_diameter","ET","V2_ptagg"
20,0.0324739845932434,0.483251029834344,"joy","Left FPC","Q2","Survey","V2_ptagg"
20,0.0411796672825658,0.483101286005377,"sadness","Right FPC","Q1","Survey","V2_ptagg"
20,0.0369319997699175,0.482556530572579,"fear","Left VLPFC","Average_pupil_diameter","ET","V2_ptagg"
20,-0.0346271215010085,0.48193883116131,"anger","Left VLPFC","Q2","Survey","V2_ptagg"
20,-0.0301860772019295,0.480444056299151,"joy","Right DLPFC","Q1","Survey","V2_ptagg"
